date,count
2024-06-01,167882
2024-06-02,154179
2024-06-03,187320
2024-06-04,194251
2024-06-05,193161
2024-06-06,150186
2024-06-07,176149
2024-06-08,108167
2024-06-09,144223
2024-06-10,184809
2024-06-11,185339
2024-06-12,185735
2024-06-13,180565
2024-06-14,184771
2024-06-15,135545
2024-06-16,138902
2024-06-17,183972
2024-06-18,185037
2024-06-19,176976
2024-06-20,176280
2024-06-21,181228
2024-06-22,60126
2024-06-23,106449
2024-06-24,176784
2024-06-25,194241
2024-06-26,186825
2024-06-27,184932
2024-06-28,178132
2024-06-29,99995
2024-06-30,95578
2024-07-01,182407
2024-07-02,39423
2024-07-03,164914
2024-07-04,158332
2024-07-05,170990
2024-07-06,95365
2024-07-07,82458
2024-07-08,49085
2024-07-09,131039
2024-07-10,157079
2024-07-11,176877
2024-07-12,178467
2024-07-13,132042
2024-07-14,116652
2024-07-15,166488
2024-07-16,93992
2024-07-17,51997
2024-07-18,42866
2024-07-19,158608
2024-07-20,84487
2024-07-21,97476
2024-07-22,85672
2024-07-23,113308
2024-07-24,126749
2024-07-25,131191
2024-07-26,117450
2024-07-27,76392
2024-07-28,102031
2024-07-29,138811
2024-07-30,150500
2024-07-31,149858
2024-08-01,145479
2024-08-02,140142
2024-08-03,105215
2024-08-04,89606
2024-08-05,123144
2024-08-06,136536
2024-08-07,141026
2024-08-08,137386
2024-08-09,139471
2024-08-10,114522
2024-08-11,99627
2024-08-12,143220
2024-08-13,134065
2024-08-14,132723
2024-08-15,102408
2024-08-16,140840
2024-08-17,105962
2024-08-18,93504
2024-08-19,142992
2024-08-20,146658
2024-08-21,73098
2024-08-22,125868
2024-08-23,151292
2024-08-24,105509
2024-08-25,101720
2024-08-26,142224
2024-08-27,149058
2024-08-28,166233
2024-08-29,166655
2024-08-30,167324
2024-08-31,134541
2024-09-01,125165
2024-09-02,153786
2024-09-03,178899
2024-09-04,176847
2024-09-05,142465
2024-09-06,150532
2024-09-07,148975
2024-09-08,131428
2024-09-09,170520
2024-09-10,169974
2024-09-11,154072
2024-09-12,62018
2024-09-13,75820
2024-09-14,115902
2024-09-15,102885
2024-09-16,89290
2024-09-17,79398
2024-09-18,101362
2024-09-19,155480
2024-09-20,49117
2024-09-21,112108
2024-09-22,159558
2024-09-23,188292
2024-09-24,191155
2024-09-25,187724
2024-09-26,176097
2024-09-27,191564
2024-09-28,168997
2024-09-29,154567
2024-09-30,186545
2024-10-01,131743
2024-10-02,176827
2024-10-03,154005
2024-10-04,181957
2024-10-05,165474
2024-10-06,108633
2024-10-07,173882
2024-10-08,182669
2024-10-09,160337
2024-10-10,180117
2024-10-11,189277
2024-10-12,161677
2024-10-13,142161
2024-10-14,171308
2024-10-15,155610
2024-10-16,181089
2024-10-17,181158
2024-10-18,78673
2024-10-19,130839
2024-10-20,122486
2024-10-21,154399
2024-10-22,26814
2024-10-23,143675
2024-10-24,159362
2024-10-25,166443
2024-10-26,145489
2024-10-27,110955
2024-10-28,159272
2024-10-29,154496
2024-10-30,167856
2024-10-31,167806
2024-11-01,166365
2024-11-02,146372
2024-11-03,132606
2024-11-04,153220
2024-11-05,145620
2024-11-06,138896
2024-11-07,140419
2024-11-08,146625
2024-11-09,125840
2024-11-10,115684
2024-11-11,155307
2024-11-12,158282
2024-11-13,162962
2024-11-14,137465
2024-11-15,158829
2024-11-16,80370
2024-11-17,78601
2024-11-18,109664
2024-11-19,124648
2024-11-20,124089
2024-11-21,127456
2024-11-22,127408
2024-11-23,95075
2024-11-24,85897
2024-11-25,130573
2024-11-26,35379
2024-11-27,20902
2024-11-28,42954
2024-11-29,73901
2024-11-30,57419
2024-12-01,58682
2024-12-02,100402
2024-12-03,94706
2024-12-04,97362
2024-12-05,83581
2024-12-06,92777
2024-12-07,66498
2024-12-08,50136
2024-12-09,89574
2024-12-10,95363
2024-12-11,98559
2024-12-12,91964
2024-12-13,89559
2024-12-14,64501
2024-12-15,51238
2024-12-16,78056
2024-12-17,83410
2024-12-18,76127
2024-12-19,79353
2024-12-20,80200
2024-12-21,39452
2024-12-22,37978
2024-12-23,76138
2024-12-24,77776
2024-12-25,45243
2024-12-26,69106
2024-12-27,68320
2024-12-28,45723
2024-12-29,43608
2024-12-30,79477
2024-12-31,72939
